Cathegorie,Product ID,Product Name,Product Type,Additional service ,Regions,Where,Video/Photos,duration,Number of peoples,Unit price ,Sales,Views,Quantity,Sales Last Year,Views Last Year,Quantity Last Year,Grow sales
Helicopter,1342603,"Découverte de 20 min en hélicoptère des châteaux de la Loire et leurs jardins, pour 2 personnes",Découverte (lieu),,Centre-Val-De-Loire,Château de la loire,,20,2,"337,90", €  -   ,  50 ,  -   ," €  563,17 ",  114 ,  2 ,"-100,00%"
Helicopter,1342600,Vol 25 min en hélicoptère à la découverte d'Amboise et des châteaux de la Loire,Vol (durée),,Centre-Val-De-Loire,Amboise et des châteaux de la Loire,,25,,"179,90", €  -   ,  305 ,  -   ," €  149,92 ",  609 ,  1 ,"-100,00%"
Helicopter,1412517,Vol en hélicoptère inoubliable de 40 min pour 2 au-dessus du château de Chenonceau,Vol en,,Centre-Val-De-Loire,château de Chenonceau,,40,2,"437,90", €  -   ,  -   ,  -   ," €  729,83 ",  405 ,  2 ,"-100,00%"
Helicopter,1412488,Vol fabuleux de 40 min en hélicoptère au-dessus du château de Chenonceau,Vol fabuleux,,Centre-Val-De-Loire,château de Chenonceau,,40,,"219,90", €  -   ,  -   ,  -   ," €  183,25 ",  203 ,  1 ,"-100,00%"
Helicopter,1411929,Vol panoramique en hélicoptère au-dessus du château de Villandry pour 2,Vol panoramique en ,,Centre-Val-De-Loire,château de Villandry,,,2,"239,90", €  -   ,  -   ,  -   ," €  1 199,50 ",  298 ,  5 ,"-100,00%"
Helicopter,1462155,Survol en hélicoptère du fort Boyard et du phare de Chassiron durant 30 minutes,Survol en,,Nouvelle-Aquitaine,fort Boyard / phare de Chassiron,,30,,"219,90", €  -   ,  123 ,  -   ," €  183,25 ",  71 ,  1 ,"-100,00%"
Helicopter,1462151,"Survol spectaculaire en hélicoptère : fort Boyard, phare de Chassiron et La Cotinière",Survol  spectaculaire,,Nouvelle-Aquitaine,Fort Boyard / phare de Chassiron et La Cotinière,,,,"219,90", €  -   ,  34 ,  -   ," €  366,50 ",  130 ,  2 ,"-100,00%"
Helicopter,1474237,Vol en hélicoptère au-dessus du fort Boyard,Vol en,,Nouvelle-Aquitaine,Fort Boyard,,,,"89,90", €  -   ,  177 ,  -   ," €  224,75 ",  491 ,  3 ,"-100,00%"
Helicopter,1366444,Vol en hélicoptère et dîner accords mets et vins pour 2,Vol en ,"vin, accords mets",Offre box France Entière,France entière,,,2,"799,80", €  -   ,  -   ,  -   ," €  666,50 ",  42 ,  1 ,"-100,00%"
Helicopter,1411931,Baptême de l'air en hélicoptère dans le Centre-Val de Loire,Baptême de l'air en,,Centre-Val-De-Loire,Centre-Val de Loire,,,,"39,90"," €  46,55 ",  393 ,  1 ," €  465,50 ",  1 140 ,  12 ,"-90,00%"
